Alimentação	1	56509d2bc864579b1343259d	A PRESENTE LICITAÇÃO TEM COMO OBJETO PREÇOS A SEREM REGISTRADOS EM ATA PARA FUTURAS AQUISIÇÕES DE GÊNEROS ALIMENTÍCIOS PERECÍVEIS (CARNE E FRANGO) PARA ATENDER AS NECESSIDADES DAS UNIDADES DE SAÚDE DA SECRETARIA MUNICIPAL DE SAÚDE/SEMUS
Vestuário	32	56509dc8c864579b134325a6	CONSTITUI OBJETO DESTA LICITAÇÃO A CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE FARDAMENTOS PARA OS COMERCIANTES LICENCIADOS NO MUNICÍPIO DO SALVADOR, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO (ANEXO I) DO EDITAL.
Vestuário	32	56509dc8c864579b134325a6	CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE RECORTE ELETRÔNICO, CONFORME AS ESPECIFICAÇÕES E QUANTIFICAÇÃO PREVISTA NO ANEXO I DESTE EDITAL, DE ACORDO COM A SOLICITAÇÃO NO PROCESSO ADMINISTRATIVO Nº 4.360/2016 - SUCOM.
Construção Civil	3	56509d95c864579b134325a0	CONTRATAÇÃO, SOB O REGIME DE EMPREITADA POR PREÇO GLOBAL, DE OBRA DE ENGENHARIA PARA READEQUAÇÃO DAS INSTALAÇÕES ELÉTRICAS DO PAVILHÃO DE EXPOSIÇÕES DO PARQUE ANHEMBI.
Esportivo e Recreativo	7	56509e7dc864579b134325b0	CONTRATAÇÃO DE EMPRESA PARA IMPLANTAÇÃO DE APARELHOS DE GINÁSTICA EM ESPAÇO NA RUA ANHANDUI MIRIM, ALT. 700 - SÃO PAULO ? SP.
Informática e Telecomunicação	11	56509da9c864579b134325a3	CONTRATAÇÃO DE SERVIÇOS TÉCNICOS DE DESENVOLVIMENTO E SUSTENTAÇÃO DE SISTEMAS DE INFORMAÇÃO PARA O SFMSP
Serviços de Engenharia	25	5702a9545700813676e5974a	FORNECIMENTO, INSTALAÇÃO, REMOÇÃO E REINSTALAÇÃO DE PELÍCULA DE CONTROLE SOLAR NOS SANITÁRIOS DO EDIFÍCIO DA CÂMARA MUNICIPAL DE SÃO PAULO, PELO PERÍODO DE 12 (DOZE) MESES, CONFORME DESCRIÇÕES, QUANTIDADES E CONDIÇÕES CONSTANTES DO ANEXO I - TERMO DE REFERÊNCIA - ESPECIFICAÇÕES TÉCNICAS, PARTE INTEGRANTE DO EDITAL.
Construção Civil	3	56509d95c864579b134325a0	CONTRATAÇÃO, SOB O REGIME DE EMPREITADA POR PREÇO GLOBAL, DE OBRA DE ENGENHARIA PARA EXECUÇÃO DA COBERTURA, CLIMATIZAÇÃO, INSTALAÇÃO DE FORRO, LUMINÁRIAS E SISTEMA DE COMBATE A INCÊNDIO NOS HALLS NOBRE 2 E 3 DO PALÁCIO DAS CONVENÇÕES DO PARQUE ANHEMBI
Supermercado	30	56509d33c864579b1343259e	FORMAÇÃO DE ATA DE REGISTRO DE PREÇOS PARA FORNECIMENTO DE COPOS DESCARTÁVEIS PARA ÁGUA E CAFÉ, CONFORME DESCRIÇÃO, QUANTIDADES E CONDIÇÕES CONSTANTES NO ANEXO I - TERMO DE REFERÊNCIA - ESPECIFICAÇÕES TÉCNICAS, PARTE INTEGRANTE DO EDITAL.
Construção Civil	3	56509d95c864579b134325a0	CONTRATAÇÃO DE SERVIÇOS PARA EXECUÇÃO DE OBRAS EM ÁREA DE RISCO NA FABRICA DO GELO LOCALIZADA NA ESTRADA DO JAGUARÉ X RUA ANTONIO DO VALE X RUA DR. EZEQUIEL DE CAMPOS DIAS – SÃO PAULO – CAPITAL, OBEDECIDAS ÀS ESPECIFICAÇÕES TÉCNICAS CONTIDAS NO ANEXO IV – MEMORIAL DESCRITIVO.
Serviços de Engenharia	25	5702a9545700813676e5974a	CONTRATAÇÃO DE EMPRESA PARA IMPLANTAÇÃO DE COBERTURA EM ÁREA PÚBLICA MUNICIPAL NA ESTRADA DO JARARAU, 89, JARDIM DOS REIS - SÃO PAULO ? SP
Construção Civil	3	56509d95c864579b134325a0	CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA ARQUITETURA E URBANISMO PARA ELABORAÇÃO DE PROJETOS EXECUTIVOS E EXECUÇÃO DAS OBRAS DE REQUALIFICAÇÃO E REURBANIZAÇÃO DO VALE DO ANHANGABAÚ E ENTORNO
Serviços de Engenharia	25	5702a9545700813676e5974a	contratação de empresa especializada na prestação de serviços de arquitetura, urbanismo e engenharia para a elaboração de serviços técnicos de projeto de básico de intervenção urbana ? composto de projeto de: acessibilidade, contenção de talude, reconfiguração geométrica, e drenagem superficial ? do território CEU José Anchieta, conforme detalhado no termo de referência constante no anexo 1 desta carta convite.
Informática e Telecomunicação	11	56509da9c864579b134325a3	PRESTAÇÃO DE SERVIÇOS, COM FORNECIMENTO DE MATERIAIS E MÃO DE OBRA, PARA INSTALAÇÃO DE ENCAMINHAMENTO DE INFRAESTRUTURA SECA PARA 17 PONTOS NOVOS DE CÂMERAS IP.
